Estancia,Categoria,Tipo_mueble,Mas_vendido,Enlace_producto,Nombre,Descripcion,Precio,Opiniones_5,Opiniones_4,Opiniones_3,Opiniones_2,Opiniones_1,Valoracion_Diseno,Valoracion_Montaje,Valoracion_Calidad,Valoracion_Relacion,Valoracion_Funcionamiento,Imagen_principal,ID,Resenas,Valoracion,Ancho,Largo,Altura,relacionados_lista,Variantes_ID,Variantes_colores,grupo_agrupacion,Score
Salón,Muebles de almacenaje para salón,Muebles de salón,1,besta-combinacion-mueble-tv-blanco-lappviken-blanco,BESTÅ,Combinación de mueble para TV,320.0,1,0,0,0,0,5.0,5.0,5.0,5.0,5.0,https://www.ikea.com/es/es/images/products/besta-combinacion-mueble-tv-blanco-lappviken-blanco__1068921_pe853665_s5.jpg?f=s,19476818,1,5.0,180.0,42.0,185.0,"[59477279, 99406831, 99398690, 29398684, 29411322, 79437763, 19602930, 69476769, 69476825, 89411319, 9411969, 49412165]",['59477279'],['Blanco'],CATEGORIA_Muebles de almacenaje para salón,0.7894730401926007
Salón,Muebles de almacenaje para salón,Muebles de salón,0,tonstad-armario-tv-almacenaje-puertas-chapa-roble-vidrio-incoloro,TONSTAD,Armario TV,724.0,1,0,0,0,0,4.0,5.0,4.0,4.0,5.0,https://www.ikea.com/es/es/images/products/tonstad-armario-tv-almacenaje-puertas-chapa-roble-vidrio-incoloro__1208262_pe908424_s5.jpg?f=s,29515065,1,5.0,342.0,37.0,120.0,"[19515061, 9515066, 489302, 69571766, 49571767, 69412174, 99535220, 59571762, 49514729, 19535219, 59535222, 39535218]",Sin_variacion,[],CATEGORIA_Muebles de almacenaje para salón,0.5119203779655703
Salón,Muebles de almacenaje para salón,Muebles de salón,0,brimnes-mueble-tv-con-estanteria-blanco,BRIMNES,Mueble TV con estantería,199.98,40,9,3,0,1,4.7,4.4,4.2,4.5,4.7,https://www.ikea.com/es/es/images/products/brimnes-mueble-tv-con-estanteria-blanco__0643930_pe702275_s5.jpg?f=s,39184343,53,4.6,180.0,41.0,190.0,"[59184337, 39477242, 89184331, 59278213, 9602073, 59602075, 29278219, 50409874, 49521112, 59278232, 29560675, 79398672]",Sin_variacion,[],Mueble TV con estantería,0.7389476690065586
Salón,Muebles de almacenaje para salón,Muebles de salón,0,havsta-mueble-tv-con-puertas-vidrio-blanco,HAVSTA,Mueble TV con puertas de vidrio,1149.0,2,0,0,0,0,5.0,5.0,5.0,5.0,5.0,https://www.ikea.com/es/es/images/products/havsta-mueble-tv-con-puertas-vidrio-blanco__1289727_pe934568_s5.jpg?f=s,19534818,2,5.0,322.0,47.0,212.0,"[39534817, 19437332, 19299571, 49571767, 59571762, 19387902, 59534779, 59437330, 89534810, 99437333, 79602437, 39437331]",['39534817'],['Gris'],CATEGORIA_Muebles de almacenaje para salón,0.5980260904542656
Salón,Muebles de almacenaje para salón,Muebles de salón,0,besta-lack-mueble-tv-con-estanteria-negro-marron,BESTÅ / LACK,Mueble TV con estantería,340.98,0,2,1,0,0,4.0,4.3,3.7,4.0,3.7,https://www.ikea.com/es/es/images/products/besta-lack-mueble-tv-con-estanteria-negro-marron__0943575_pe796984_s5.jpg?f=s,89398742,3,3.7,240.0,42.0,129.0,"[49556045, 89398737, 29398684, 79398747, 99398685, 99398690, 29329412, 69406286, 99507892, 59330640, 59488800, 69476769]",['29398684'],['Blanco'],Mueble TV con estantería,0.4586260562810692
Salón,Muebles de almacenaje para salón,Muebles de salón,0,brimnes-mueble-tv-con-estanteria-blanco,BRIMNES,Mueble TV con estantería,268.98,23,3,1,0,0,4.9,4.7,4.5,4.7,4.9,https://www.ikea.com/es/es/images/products/brimnes-mueble-tv-con-estanteria-blanco__0619444_pe689092_s5.jpg?f=s,29278219,27,4.8,336.0,41.0,95.0,"[59184337, 39477242, 59278232, 59278213, 9440679, 19521175, 79420300, 49521112, 59398673, 89184331, 79398672, 9602073]",Sin_variacion,[],Mueble TV con estantería,0.7185964583163461
Salón,Muebles de almacenaje para salón,Muebles de salón,0,eket-combinacion-almacenaje-audio-video-blanco,EKET,Combinación almacenaje audio/vídeo,275.0,0,0,0,0,0,4.605936454849498,4.507416502946955,4.362735257214554,4.359205020920502,4.5,https://www.ikea.com/es/es/images/products/eket-combinacion-almacenaje-audio-video-blanco__1389125_pe965099_s5.jpg?f=s,29580980,0,4.489009159034138,210.0,35.0,35.0,"[69580983, 59580993, 39580994, 79580987, 59580988, 79437763, 99580986, 79411305, 99507991, 29435907, 89421506, 49407197]",['69580983'],['Marrón'],CATEGORIA_Muebles de almacenaje para salón,0.5156774193630623
Salón,Muebles de almacenaje para salón,Muebles de salón,0,besta-combinacion-almacenaje-audio-video-blanco-lappviken-blanco,BESTÅ,Combinación almacenaje audio/vídeo,445.0,0,0,0,0,0,4.605936454849498,4.507416502946955,4.362735257214554,4.359205020920502,4.5,https://www.ikea.com/es/es/images/products/besta-combinacion-almacenaje-audio-video-blanco-lappviken-blanco__1445846_pe988421_s5.jpg?f=s,69612093,0,4.489009159034138,300.0,42.0,114.0,"[49612094, 29411322, 59488800, 59437759, 69575175, 89411319, 89412352, 89612092, 9411969, 69488791, 99399072, 79488012]","['49612089', '49612094']","['Marrón', 'Marrón']",CATEGORIA_Muebles de almacenaje para salón,0.4827699419275382
Salón,Muebles de almacenaje para salón,Muebles de salón,0,besta-mueble-tv-con-estanteria-blanco-lappviken,BESTÅ,Mueble TV con estantería,440.0,0,0,0,0,0,4.605936454849498,4.507416502946955,4.362735257214554,4.359205020920502,4.5,https://www.ikea.com/es/es/images/products/besta-mueble-tv-con-estanteria-blanco-lappviken__1068925_pe853669_s5.jpg?f=s,19602930,0,4.489009159034138,240.0,42.0,230.0,"[79437763, 19476818, 69476825, 79221188, 69476769, 99398690, 99406831, 9411969, 79411305, 29411322, 39602929, 59488800]",Sin_variacion,[],Mueble TV con estantería,0.4787160205800162
Salón,Muebles de almacenaje para salón,Muebles de salón,0,brimnes-burhult-mueble-tv-con-estanteria-blanco,BRIMNES / BURHULT,Mueble TV con estantería,276.95,0,0,0,0,0,4.605936454849498,4.507416502946955,4.362735257214554,4.359205020920502,4.5,https://www.ikea.com/es/es/images/products/brimnes-burhult-mueble-tv-con-estanteria-blanco__0943475_pe796943_s5.jpg?f=s,79398672,0,4.489009159034138,258.0,41.0,190.0,"[89184331, 19521175, 59398673, 39477242, 59278232, 29278219, 9552172, 59278213, 59184337, 99440613, 59602075, 69398620]",Sin_variacion,[],Mueble TV con estantería,0.507669251360489
Salón,Muebles de almacenaje para salón,Muebles de salón,0,besta-eket-combinacion-mueble-tv-almacenaje-blanco,BESTÅ / EKET,Combinación mueble TV y almacenaje,380.0,0,0,0,0,0,4.605936454849498,4.507416502946955,4.362735257214554,4.359205020920502,4.5,https://www.ikea.com/es/es/images/products/besta-eket-combinacion-mueble-tv-almacenaje-blanco__0519746_pe641743_s5.jpg?f=s,79221188,0,4.489009159034138,210.0,42.0,220.0,"[9476833, 19602930, 69476825, 9411969, 79437763, 69476769, 19476818, 59437759, 69575175, 99407190, 49408682, 29411322]",['79488012'],['Marrón'],CATEGORIA_Muebles de almacenaje para salón,0.4918755326266094
Salón,Muebles de almacenaje para salón,Muebles de salón,0,brimnes-mueble-tv-con-estanteria-blanco,BRIMNES,Mueble TV con estantería,198.99,37,14,2,1,1,4.7,4.2,4.4,4.6,4.7,https://www.ikea.com/es/es/images/products/brimnes-mueble-tv-con-estanteria-blanco__0619434_pe689076_s5.jpg?f=s,59278213,55,4.5,258.0,41.0,95.0,"[59184337, 39477242, 29278219, 9602073, 50409874, 19521175, 59535298, 79398672, 49521112, 593092, 9503313, 59278232]",Sin_variacion,[],Mueble TV con estantería,0.7420232627566207
Salón,Muebles de almacenaje para salón,Muebles de salón,0,besta-lack-mueble-tv-con-estanteria-blanco,BESTÅ / LACK,Mueble TV con estantería,420.98,1,0,1,0,1,4.0,4.0,2.7,3.0,3.7,https://www.ikea.com/es/es/images/products/besta-lack-mueble-tv-con-estanteria-blanco__0943576_pe796985_s5.jpg?f=s,99398685,3,3.0,240.0,42.0,193.0,"[29398684, 99398690, 59488800, 39476822, 9330794, 29329412, 99406831, 89398742, 49330792, 89184331, 59406263, 49412165]",['79398747'],['Negro'],Mueble TV con estantería,0.3675050214042465
Salón,Muebles de almacenaje para salón,Muebles de salón,0,idanas-mueble-tv-con-estanteria-vidrio-blanco,IDANÄS,Mueble TV con estantería,807.0,5,1,0,0,0,4.8,4.2,4.7,4.7,5.0,https://www.ikea.com/es/es/images/products/idanas-mueble-tv-con-estanteria-vidrio-blanco__1028829_pe835549_s5.jpg?f=s,19437332,6,4.8,325.0,40.0,211.0,"[19387902, 59437330, 99437333, 19299571, 19534818, 90487860, 89534810, 79602437, 59534779, 59278232, 59398673, 39602439]",['99437333'],['Marrón'],Mueble TV con estantería,0.6107299412400532
Salón,Muebles de almacenaje para salón,Muebles de salón,0,besta-eket-mueble-tv-con-estanteria-blanco-selsviken-alto-brillo-blanco,BESTÅ / EKET,Mueble TV con estantería,360.0,0,0,0,0,0,4.605936454849498,4.507416502946955,4.362735257214554,4.359205020920502,4.5,https://www.ikea.com/es/es/images/products/besta-eket-mueble-tv-con-estanteria-blanco-selsviken-alto-brillo-blanco__1068888_pe853656_s5.jpg?f=s,69476825,0,4.489009159034138,180.0,42.0,185.0,"[69476769, 19602930, 19476818, 79437763, 79221188, 99406831, 99398690, 29411322, 59477279, 29476766, 9476767, 69575175]",Sin_variacion,[],Mueble TV con estantería,0.4896446345220952
Salón,Muebles de almacenaje para salón,Muebles de salón,0,brimnes-mueble-tv-puertas-vidrio-blanco,BRIMNES,Mueble TV puertas vidrio,467.0,0,0,0,0,0,4.605936454849498,4.507416502946955,4.362735257214554,4.359205020920502,4.5,https://www.ikea.com/es/es/images/products/brimnes-mueble-tv-puertas-vidrio-blanco__1446134_pe988559_s5.jpg?f=s,39602439,0,4.489009159034138,340.0,41.0,190.0,"[59278232, 59398673, 79602437, 89184331, 39477242, 99602441, 59602075, 69398620, 59440610, 29278219, 79420300, 19437332]",Sin_variacion,[],CATEGORIA_Muebles de almacenaje para salón,0.4802621923559936
Salón,Muebles de almacenaje para salón,Muebles de salón,0,lanesund-mueble-tv-con-estanteria-marron-grisaceo,LANESUND,Mueble TV con estantería,948.0,3,0,0,0,0,5.0,4.0,5.0,4.3,5.0,https://www.ikea.com/es/es/images/products/lanesund-mueble-tv-con-estanteria-marron-grisaceo__1186544_pe898870_s5.jpg?f=s,49514729,3,5.0,282.0,47.0,152.0,"[39535218, 59535222, 69521074, 9435951, 19535219, 29514730, 69412174, 50466553, 29515065, 19497217, 99535220, 89436517]",Sin_variacion,[],Mueble TV con estantería,0.5926247894338537
Salón,Muebles de almacenaje para salón,Muebles de salón,0,brimnes-mueble-tv-con-estanteria-blanco,BRIMNES,Mueble TV con estantería,228.99,0,0,0,0,0,4.605936454849498,4.507416502946955,4.362735257214554,4.359205020920502,4.5,https://www.ikea.com/es/es/images/products/brimnes-mueble-tv-con-estanteria-blanco__1490470_pe1004154_s5.jpg?f=s,9602073,0,4.489009159034138,294.0,41.0,95.0,"[59184337, 59278213, 99535296, 39477242, 29278219, 19521175, 59535298, 49440615, 59602075, 593092, 39184343, 59398673]",Sin_variacion,[],Mueble TV con estantería,0.5240333301814459
Salón,Muebles de almacenaje para salón,Muebles de salón,0,eket-combinacion-almacenaje-audio-video-blanco-roble-tinte-blanco-vidrio-incoloro,EKET,Combinación almacenaje audio/vídeo,255.0,0,0,1,0,0,3.0,1.0,3.0,3.0,3.0,https://www.ikea.com/es/es/images/products/eket-combinacion-almacenaje-audio-video-blanco-roble-tinte-blanco-vidrio-incoloro__1389130_pe965104_s5.jpg?f=s,59580988,1,3.0,210.0,35.0,35.0,"[79580987, 29580980, 99580986, 39580994, 69580983, 59580993, 49580998, 79437763, 19507990, 59440728, 9437747, 29580999]","['79580987', '99580986']","['Blanco', 'Marrón']",CATEGORIA_Muebles de almacenaje para salón,0.3479334090725063
Salón,Muebles de almacenaje para salón,Muebles de salón,0,havsta-mueble-tv-puertas-vidrio-blanco,HAVSTA,Mueble TV puertas vidrio,714.0,9,1,0,0,0,4.9,4.8,4.7,5.0,4.9,https://www.ikea.com/es/es/images/products/havsta-mueble-tv-puertas-vidrio-blanco__1289329_pe934578_s5.jpg?f=s,89534810,10,4.9,241.0,47.0,212.0,"[9534809, 19437332, 79534783, 59437330, 19387902, 59534779, 9534772, 59571762, 49571767, 19534818, 79602437, 19299571]",['09534809'],['Gris'],CATEGORIA_Muebles de almacenaje para salón,0.6529012778063535
Salón,Muebles de almacenaje para salón,Muebles de salón,0,brimnes-mueble-tv-con-estanteria-blanco,BRIMNES,Mueble TV con estantería,258.99,0,0,0,0,0,4.605936454849498,4.507416502946955,4.362735257214554,4.359205020920502,4.5,https://www.ikea.com/es/es/images/products/brimnes-mueble-tv-con-estanteria-blanco__1490473_pe1004157_s5.jpg?f=s,59602075,0,4.489009159034138,274.0,41.0,190.0,"[59398673, 39477242, 89184331, 59278232, 19521175, 39602439, 69398620, 29278219, 9602073, 49440615, 59184337, 49521112]",Sin_variacion,[],Mueble TV con estantería,0.513087416554574
Salón,Muebles de almacenaje para salón,Muebles de salón,0,eket-combinacion-almacenaje-audio-video-blanco-con-puertas,EKET,Combinación almacenaje audio/vídeo,335.0,0,0,0,0,2,1.0,4.507416502946955,1.0,1.0,1.0,https://www.ikea.com/es/es/images/products/eket-combinacion-almacenaje-audio-video-blanco-con-puertas__1389131_pe965105_s5.jpg?f=s,59580993,2,1.0,280.0,35.0,35.0,"[29580980, 39580994, 79437763, 79580987, 69580983, 79411305, 59440728, 19440725, 99580986, 59580988, 49407197, 9507943]",['39580994'],['Marrón'],CATEGORIA_Muebles de almacenaje para salón,0.062878342524398
